"Headline","Bias","Reliability"
"Why are Silicon Valley billionaires starving themselves?","-1","27.67"
"Everyone is going to be disappointed by the Mueller report","2.25","47.75"
"Trump's Fed picks are awful — but not for the reasons you think","-16.67","33.67"
"Bernie's clear lane to the Democratic nomination","-13.25","31"
"The grave dangers of Trump's 'patriotic correctness'","-15","34.25"
"Bernie's a millionaire now. It doesn't matter.","-15.25","32.25"
"Why Boeing will likely cruise through its crisis","-6.5","43.5"
"The bloody cost of Islamophobia","-15.33","39"
"The politics of getting pregnant in Trump's America","-19.25","29.25"
"Bill de Blasio 2020: The campaign no one wants","11","16.67"
"Trump isn't rolling back the American empire. He's expanding it.","-16.75","33"
"Jared Kushner hopes to 'eliminate borders' in the Middle East","-4","41.67"
"Why must you go to school to be a barber — or a nurse?","-2.14","26.57"
"McConnell issues letter to remove ‘1619 Project’ from federal grant programs","-16","36"
"Trump tells aides not to pay Giuliani's legal fees following Capitol riots - TheGrio","-12","43.33"
"Trump supporters clash with protesters at rally in DC, four people stabbed","-5","42.67"
"US executes second death row inmate in two days","-4","44.67"
"Trump says 'it's not over' after Supreme Court dismisses case - TheGrio","-1.33","44.67"
"Former staffer accuses Andrew Cuomo of sexual harassment - TheGrio","-1.33","42.33"
"Protesters rally to save a Black family's home - TheGrio","-6","42.33"
"DeJoy may have to testify about US Postal Services not complying with mail-in ballot order - TheGrio","-4","48.33"
"Biden passes Obama for most votes of all time with 70 million - TheGrio","-5.33","43.67"
"Why the first openly Black gay men elected to Congress matter","-11.33","41.67"
"North Dakota candidate who died from COVID-19 wins election - TheGrio","-1.33","43.67"
"Jaime Harrison talks historical campaign and building a ‘New South’","-13","42"
"Cory Booker slams ‘racist’ GOP House candidate for comments about working with 'non-white males' - TheGrio","-8.67","44.33"
"Boston ballot drop box set on fire: A 'disgrace to democracy' - TheGrio","0","41.67"
"Columnist Peggy Noonan slammed for saying Harris’ dancing is ‘embarrassing’ - TheGrio","-16","36"
"Prince Harry admits he didn't know 'unconscious bias' existed until he 'walked a day in Meghan's shoes' - TheGrio","-6.33","29.67"
"Jared Kushner implies Black people don't want to be successful as he defends Trump - TheGrio","-13","34"
"Ohio Democratic Rep. Kennedy Kent endorses Trump - TheGrio","-7.33","45.33"
"Trump told Huckabee Sanders 'take one for the team' after Kim Jong Un wink - TheGrio","-12.67","41.67"
"Ben & Jerry's announces new podcast on systemic racism, White supremacy - TheGrio","-12.67","43.33"
"FBI: Trump's mail-in ballot interference accusations not supported by evidence - TheGrio","-4.25","43.25"
"Jacob Blake's children so traumatized after shooting they'll need therapy, family says - TheGrio","-13","42"
"Kenosha sheriff on Black men arrested in 2018: ‘cancer to our society’ - TheGrio","-17.5","40"
"University of Alabama faculty reportedly told to stay quiet about COVID-19 infections among students - TheGrio","-7","41.67"
"Biden narrows VP choice list down to these two Black women: report","-7","49"
"Suicide Among Black Girls Is a Mental Health Crisis Hiding in Plain Sight","-6.33","48.33"
"Joe Biden Proved a Press Conference Doesn’t Have to Be a Spectacle","-17","33.67"
"The Secret History of the Shadow Campaign That Saved the 2020 Election","-3","53.33"
"Donald Trump is Isolated and Powerless as His Presidency Ends","-5","41"
"Tulsi Gabbard Introduces Bill That Would Ban Trans Women and Girls from Female Sports","-6.75","41.5"
"President Trump and First Lady Test Positive For Coronavirus","-5","51"
"President Trump Has COVID-19. Nobody Knows What Happens Now","-5.67","46.67"
"My Democratic Problem With Voting for Hillary Clinton","-28.67","34.33"
"Modi Attends Ram Temple Groundbreaking. Why It Matters","-4","47.5"
"Seoul's Mayor Championed Women's Rights. The #MeToo Allegations Against Him Have Bitterly Divided Korea","-0.5","49"
"Here’s What Trump Got Wrong About America’s COVID-19 Death Rate","-8.5","49"
"The Pandemic Is Causing a Shortage of Poll Workers. Can States Recruit Enough by Election Day?","-1","46"
"We Must Change How Our Criminal Justice System Treats People with Mental Illness","-7.67","42"
"Washington's NFL Team Says it Will Drop 'Redskins' Name","-1.66","48.78"
"Experts Warn Latest Trump Administration Move on Iran Could Backfire","-2.8","48.6"
"I Worked With Joe Biden. Here’s What to Know About the Frontrunner Myth Growing Around Him","-11.25","34.25"
"On Earth Day, Don't Fall for Political Distractions","-11.5","27"
"Donald Trump Is Weak and Afraid—The Mueller Report Proves It","-7.5","34.5"
"Jared Kushner Says Mueller Had 'Harsher Impact' Than Russia","-4.5","46"
"Donald Trump Again Rejects Conclusions on North Korea","-5","45.75"
"Off-Duty Pilot Said to Save 737 on Its Next-to-Last Flight","0","51.2"
"Supreme Court Broadens Federal Powers to Detain Immigrants","0","40"
"Scenes From the 'Historic' Floods That Hit the Midwest — And Could Get Worse","-0.33","54"
"Why Kim Jong Un Chose to Take a 2-Day Train Trip to Vietnam","0.67","37.67"
"http://time.com/5538407/house-subpoena-trump-officials-separation/","-3","57"
"Caitlyn Jenner Says If You’re a Biological Boy, You Shouldn’t be in Girls’ Sports","-18","30"
"Kim Kardashian's Alleged Trespasser Crashes Through Hidden Hills Gate","0","29.33"
"Joe Biden Isn't Getting Government Plane to Fly Him to D.C. Inauguration","-11","33.67"
"Facial Recognition, Social Media Scouring Used to Vet National Guard","-2","43.67"
"Pro-Trump Protesters Break Into U.S. Capitol, Congress Members Evacuated","0.33","52.33"
"President Trump Getting Antibodies Treatment for COVID-19","-6.33","42.33"
"Nicki Minaj Gives Birth To First Child","0","28.67"
"Amazon Says More Than 19,000 Employees Contracted Coronavirus","-2.67","37.33"
"Melania Trump Secret Audio, 'Give Me a f***ing Break' Over Border Separation","-5.33","36"
"Rep. Jim Clyburn Says Gov't Preparing for Trump's Refusal to Leave White House","-24.67","16"
"Neil Young Sues Trump Campaign Over Songs Played at Rallies","-6.33","43"
"SpaceX Astronauts Return to Earth After 62 Days in Orbit","0","46.33"
"Massive Explosion in Beirut Caused By 2,750 Tons of Ammonium Nitrate","0","49.75"
"FBI Seize Guns from Jake Paul's Home, Raid Involves Scottsdale Protests","0","45.25"
"Trump Wants Bubba Wallace to Apologize Over Noose 'Hoax,' Wallace Responds","-19.42","31.79"
"NYC Woman Who Called Cops on Black Man Fired From Job","-16.33","40"
"Wild Memorial Day Party At Lake of the Ozarks","-9.67","34"
"Elon Musk and Grimes Change Baby's Name to Comply with Law","0","47"
"George Floyd Lawyer Ben Crump Says the Killing Proves It's 'Open Season on Black People'","-17.67","36"
"Jimmy Fallon Apologizes for Blackface Sketch on 'SNL' in 2000","-4.75","41"
"Tristan Thompson Files Libel Suit Against Woman Claiming He Fathered Her Child","-5.67","45.33"
"Sofia Richie, Signs She May Have Split with Scott Disick, New Boyfriend?","-4.25","29"
"'Trading Spaces' Designer Frank Bielec, Dead at 72","-6","47"
"Actor Fred Willard Dead at 86","-5.67","47"
"Brian Austin Green Says Megan Fox Got Bored So She's Hanging with Machine Gun Kelly","-5.67","29"
"Fight with Us Against the Leftists Ruining America","25.67","9.67"
"Study: Texas Reopening Had No Impact on COVID Cases, Deaths","21.67","21.67"
"And Now The Associated Press Almost Got into Trouble for Wading into the Anti-Semitic Waters","24","15.33"
"U.S. Confiscates More Than $90,000 from Man Selling Video of Capitol Riot","12.33","45.67"
"Hamas Thanks Iran for Providing Weapons, Funding to Attack Israel","18.33","26.67"
"Republican Votes to Punish Rep. Marjorie Taylor Greene Does Not Bode Well for the GOP","20.5","24.5"
"Why McConnell Is Green Lighting a Power-sharing Agreement","2.67","45"
"Shapiro Has More Than 100 Politico Reporters Shedding Tears... Still","14.67","29.33"
"Hawley Raises Ethics Questions Surrounding Seven Democrats","3.67","44"
"Teachers Unions Fail Science","15","33.67"
"A Crazy Impeachment","13.67","36.67"
"The Lies Tearing America Apart","13.33","30.67"
"Dem Congresswoman Lobs Serious Allegation at GOP Regarding Capitol Building Storming","17.17","27.5"
"Even the Germans Are Appalled By Trump's Twitter Ban...The Bloody Germans","13","31.67"
"Senate Democrats Nab Big Endorsement from GOP Side in Favor of Impeaching Donald Trump","15.33","36.67"
"Did You Catch What's Ironic About the Liberal Media's Capitol Building Coverage?","26.33","14.33"
"BREAKING: President Trump and First Lady Test Positive for Wuhan Coronavirus","18","48"
"Schumer Just Blocked an Election Security Hearing to Boycott SCOTUS","14","42.33"
"At Least MSM Reporters Agree: NYT's Trump Tax Returns 'Bombshell' Is VERY Important","14.5","34.25"
"Burning Cities and Blaming Trump Brings No Justice for George Floyd","17.5","33.38"
"Alabama Secretary of State Shreds CNN Host for Saying Absentee Ballot Voter Fraud Doesn't Exist","20.12","27.38"
"The Bizarre, Partisan Attacks on Dr. Deborah Birx","30.67","29.67"
"Politics in the Time of Pandemic: The Political Fight Over Hydroxychloroquine","12","37.33"
"Doctor Stresses Importance of Telehealth, Wants to See More White House Action","13.33","43"
"Here's Why AOC Threw a Fit Over the Wuhan Coronavirus Relief Package","21.67","32.67"
"Trump Charged the Secret Service More Than $40,000 “Rent” Since Leaving Office","-14.33","33"
"Homeland Security Tells ICE to Cut Ties With Jail That Sicced Dogs on Migrants","-12","39"
"GOP Wants Volunteering at the Polls to Come With Risk of Jail Time or Huge Fines","-13","37"
"COVID “Vaccine Billionaires” Strike It Rich as Poor Nations Struggle for Access","-13.33","42.33"
"Progressives Can’t Ignore Role of Christian Zionism in Colonization of Palestine","-23","26.25"
"Biden Picks Warren Ally to Oversee Student Aid, Signaling Shift on Student Debt","-10","44.67"
"Amazon’s Anti-Union Bullying Shows Why We Need the PRO Act","-13.33","40.33"
"White House Officially Endorses “Long Overdue” DC Statehood","-14.33","39.67"
"Twitter Forces Ann Coulter to Delete Tweet Praising Kyle Rittenhouse","-10.67","40.67"
"GOP Proposes Letting Fossil Fuel Firms Sue Sick Workers Seeking Compensation","-15.83","35"
"“Israeli Settlers Make a Living Out of Our Suffering,” Says Palestinian Activist","-12.75","31.25"
"BLM Activist Cori Bush Ousts Incumbent Democrat in Missouri Primary Election","-13.67","43.33"
"Poll: Most Americans Believe Mail-In Voting Should Be Allowed in 2020 Elections","-8.5","46"
"Lawmakers Question Legality of Trump Accepting GOP Nomination From White House","-6.25","46.75"
"Portland’s Wall of Moms Joined by Dads With Leaf Blowers Against Trump’s Police","-11.15","37.62"
"A Dangerous Hate Campaign Is Ramping Up Against Ilhan Omar","-19.5","34.5"
"Ocasio-Cortez Is Winning the Battle Against GOP Sexists","-23.33","23"
"Will Decentralization of Neo-Nazism Spur More Right-Wing Terrorism?","-21.5","36"
"Establishment Democrats Are Undermining Medicare for All","-16.5","29.5"
"“Lords of Chaos” Brings a White Nationalist’s Book to the Big Screen","-19.33","29"
"Republicans Who Voted Against Trump Are Not “Heroes”","-19.33","21"
"Trump Budget Ends Medicaid Expansion, Axes Affordable Housing Programs","-25.33","30.33"
"Say Goodbye to Mitch McConnell’s America","-38.25","14"
"The Growing Wealth Gap Marks the Return of Oligarchy","-20.33","33.67"
"Judge in Monsanto Roundup Trial Is Already Hindering Testimony","-12.25","25.25"
"John Kerry Ignores Mask Mandate on Flight","15.67","26.67"
"The George Floyd Memorial is an Autonomous Zone","15.33","28.67"
"'The View' Thinks ANTIFA is FAKE","22.33","15.33"
"Our Nation's Heroes are NOT Prisoners","17.67","24"
"The Tolerant Left Strikes Again","17.33","25.67"
"COVID Is Nothing But Politics","19.33","21.33"
"Teacher's Union Could Get a HUGE check..","20","18.67"
"The Left Forced Mr. Potato Head to be Gender Neutral","17.33","16"
"Jake Paul Was Asked If It Was Racist That He Won Against A Black Man In Boxing","15.33","18"
"BLM Chapters/Foot Soldiers Being DUPED By Leadership","13.33","27.33"
"Reagan's Best Anti-Socialism Takes","16.33","21.67"
"5 Facts You Need to Know About Frederick Douglass","11.67","36"
"Stop Listening to Talib Kweli!","15","26.33"
"Mask Mandates Are Meaningless","17.33","21.33"
"NO WHITES ALLOWED at Rock Climbing Class!?","15.33","28.33"
"Carter Administration 2.0: #GasShortage trends on Twitter after ransomware attack on the Colonial Pipeline","7.33","29.33"
"Dem Rep. Castro tells senators that trillions of dollars are spent on military to ‘prevent the kind of attack that occurred at the Capitol’","14.33","34"
"House impeachment manager brings up the Charlottesville ‘fine people’ hoax during trial","15","36.33"
"‘F right off’! Megyn Kelly & Guy Benson stomp NY Gov. Cuomo spox who advised Janice Dean to stick to the weather","6.33","34.67"
"Catherine Herridge: ‘Small unit tactics’ witnessed both inside and outside the Capitol Building","19.33","35"
"‘Is he literally stealing that?’: CNN’s Jim Acosta reports on what ‘appears to be a stuffed bird’ being moved out of the West Wing","18","24"
"Radical activist arrested in connection with Capitol incursion urged rioters to burn it down, was a guest on CNN","15.33","26.33"
"CHOP is back, and Seattle is paying a former pimp $150,000 to be the city’s ‘street czar’","22","20.33"
"To balance CNN’s woman who moved to Mexico to escape police brutality, here’s a Mexican woman who became an American citizen and is voting for Trump","23","28.33"
"‘This aged poorly’: Remember when the GOP charge that the FBI had misled the FISA court ‘seemed to unravel’?","19.5","25.75"
"CBS News correspondent’s senses are still offended by the word ‘White’ in capital letters","20.67","20.33"
"Media hall monitors upset that Daily Signal editor given pool duties on vice president’s flight","24","10.67"
"Proud anti-fascist charged with multiple felonies says he was arrested ‘so Trump could put a face to the unrest around the country’","26","9.33"
"‘There’s a reason for that’: Brit Hume explains why former education secretary Arne Duncan didn’t provide data to support his argument against opening schools","24.07","23.37"
"https://twitchy.com/dougp-3137/2019/04/17/resistance-alarm-rachel-maddow-wants-mueller-himself-at-the-barr-rosenstein-presser-tomorrow/","20.75","18.75"
"https://twitchy.com/brettt-3136/2019/04/17/aclus-elevator-pitch-against-the-census-citizenship-question-makes-us-want-a-citizenship-question/","10.33","25"
"https://twitchy.com/dougp-3137/2019/04/17/pete-buttigieg-explains-argument-over-capitalism-and-socialism-as-heads-go-crashing-to-desks/","26","15.75"
"https://twitchy.com/sarahd-313035/2019/04/17/politico-touts-kamala-harris-as-first-indian-american-candidate-to-make-a-serious-potus-run-and-people-have-questions/","12.25","31.5"
"https://twitchy.com/sarahd-313035/2019/04/17/incitement-incitement-ilhan-omar-defender-kirsten-gillibrand-says-were-gonna-punch-trump-in-the-face/","13","18.75"
"https://twitchy.com/brettt-3136/2019/04/17/problematic-library-collections-are-promoting-whiteness-funded-by-people-of-color-in-the-prison-industrial-complex/","26","18.67"
"https://twitchy.com/samj-3930/2019/03/19/this-is-what-dems-have-become-conservative-takes-gnd-and-climate-change-crisis-apart-in-epic-fact-filled-thread/","29.25","15.5"
"https://twitchy.com/samj-3930/2019/03/19/congrats-youve-played-yourself-aoc-going-there-to-prattle-on-about-racial-injustice-doesnt-end-well-for-her/","29","16.33"
"https://twitchy.com/brettt-3136/2019/03/19/baltimores-mayor-appears-to-be-up-to-some-expensive-shenanigans-with-her-childrens-book-series/","18.25","25"
"https://twitchy.com/brettt-3136/2019/03/19/bad-bad-bad-bad-bad-bad-bad-heres-a-great-thread-on-kirsten-gillibrands-horrible-opioid-policy/","23","20.33"
"https://twitchy.com/brettt-3136/2019/03/19/elizabeth-warrens-pushing-for-congressional-panel-of-experts-to-have-that-full-blown-conversation-about-reparations/","12","17.25"
"Engineers inspect 71-story tower in China after mysterious shaking","0","45.67"
"Five Oregon counties vote to leave state, create 'Greater Idaho'","-0.67","46.33"
"Texas carries out its first execution of 2021","-4","44"
"Texas governor says no schools, gov't entities can require masks","0.67","46"
"New York, New Jersey, Connecticut lift multiple COVID-19 restrictions","0","47"
"EU agrees to lift entry restrictions for travelers with approved vaccines","0","48.33"
"Low vitamin D levels don't seem to increase COVID-19 risk, study finds","0","48.67"
"IOC chief to send medical staff to Tokyo Olympics","0","48.67"
"Tim Allen has tough time letting go of 'Last Man Standing'","0","42.33"
"PGA Championship: Rory McIlroy favored to end 7-year drought in majors","0","42.67"
"Blinken, Russia's top diplomat Lavrov meet for first time in Iceland","-0.33","48.67"
"Harris expresses 'outrage and grief' at anti-AAPI hate crimes","-5.33","45.67"
"Israel, Hamas trade attacks amid calls for cease-fire","-0.33","45.33"
"COVID-19: Government declares lockdown in Hong Kong","0","49.33"
"President Joe Biden attends first church service since inauguration","-1","41.67"
"U.S. surpasses 25M cases; Univ. of Michigan suspends athletics","-4.33","46"
"11 rescued from gold mine in China after 2 weeks underground","0","47.33"
"Record deaths, cases In Mexico strain health resources; world toll 2.1M","0","48.33"
"Prosecutors: 'QAnon Shaman' sought to 'violently overthrow' Capitol","-1.33","45.33"
"In photos: Donald Trump supporters breach Capitol, riot over election results","-1","51.33"
"Tulsi Gabbard criticized for Title IX bill that excludes trans people","-4.25","47"
"Results of Georgia hand recount affirm Biden win, Trump defeat","-5.67","47"
"HHS sends new rapid molecular COVID-19 test to 5 states","0","51.33"
"Georgia close to completing election audit; Trump files for Wisconsin recount","0","50.33"
"Another 740K in U.S. file for unemployment; more than analysts expected","0","48.67"
"The QAnon cult: What it is, how it works, and how to help deprogram your loved ones","-3","43.33"
"How do we coax millions of Americans away from the edge of election conspiracy insanity?","-10","36"
"Yes, Biden won with only 16% of U.S. counties. No, that's not mathematically impossible.","-2.33","45.33"
"My wedding was both the best and worst day of my life. Here's what I learned.","0","41.33"
"The 'glitter bomber' is back with a brilliant new trap for porch thieves who never learn","0","40.67"
"This organization is giving children fighting critical illnesses extra hope this year.","0","33.33"
"Family of U.S. teen jailed for breaking COVID protocol in the Cayman Islands speaks out","1","44.67"
"Before you click 'send' on anything else, read this comic. It's important.","-1","36"
"Voting machine companies force Fox News, Newsmax, and OAN to debunk their own conspiracy lies on air","-7","44.33"
"One little change in how you talk to your kids can help them be more successful.","0","46.67"
"The numbers are in: more than $238 million was raised for a massive relief fund","-2","43.67"
"Madeline Swegle breaks 110-year record and becomes the Navy’s first Black female fighter pilot","-4.33","43"
"Woman who was already expecting twins finds out she became pregnant again at the same time","0","34"
"Americans, please take Luke Letlow's death as the cautionary tale that it is","-5.67","35"
"Zoom memorials highlight the ironic cruelty of trying to mourn together during the pandemic","-1.33","36.33"
"Vaccine skeptics are my people. Here's how to reach at least some of us.","0","36"
"Israel is the Jewish people's ancient home. We will always defend ourselves from Hamas.","-2","40"
"Fact check: Minnesota police association covering Chauvin's defense, not Trump","-2","45"
"Derek Chauvin's conviction is progress, but it 'will do nothing to change' urban policing on its own","-7.67","42"
"Maxine Waters tells Jim Jordan 'shut your mouth' during congressional hearing with Fauci","-3.67","44"
"Virginia cops pepper-sprayed Black and Latino Army officer who had hands raised during traffic stop, video shows","-3","47.33"
"George Floyd's addiction could change how we talk about drug use and Black Americans","-5","46.33"
"Is Donald Trump a declining parody or a terrifying threat? Mastio & Lawrence on CPAC 2021","-11.33","32.33"
"Fact check: National Guard members remained armed during inauguration","-0.67","48"
"'This is America's day': Biden inaugurated as 46th president, Harris sworn in as vice president","-3.33","49.67"
"'No regrets': Evangelicals and other faith leaders still support Trump after deadly US Capitol attack","-3","48"
"Invoke the 25th Amendment: Donald Trump forfeited his moral authority to stay in office","-6","36.33"
"'A colossal failure': How were pro-Trump rioters able to breach Capitol security?","-4.33","40"
"Democrats are now unlikely to win a majority in the Senate: Here's where things stand","0.17","50.17"
"Debate, shoutout to Proud Boys, sets stage for more dangerous policing","-18","31"
"Why ranked choice voting will improve American elections: Yang, Weld","0","36"
"Janice Dean: COVID-19 killed my in-laws after Cuomo's reckless New York nursing home policy","8.67","30.33"
"Additional 787,000 workers seek unemployment as layoffs continue amid COVID-19 crisis","-2","48.67"
"Trump coronavirus: Dow ends slightly lower after a whiplash day when president tests positive for COVID-19","0","50.33"
"Donald Trump, Seven Springs and his $21 million tax deduction draw scrutiny","-6.67","45.67"
"1,600 former Justice Department lawyers accuse Barr of using DOJ to help Trump in election","-8.67","48"
"Coronavirus live updates: Court ruling jeopardizes Michigan restrictions; Trump tests positive for COVID-19, arrives at hospital","-0.57","50.14"
"Sensitive to scents? Here's how to protect yourself while traveling during COVID-19","0","45.67"
"Medicare open enrollment begins Oct. 15: Here's what you need to know","-4.33","47.67"
"Chrissy Teigen, John Legend suffer pregnancy loss: 'On this darkest of days, we will grieve'","-0.33","50.67"
"'False alarm': Cruise crew who tested positive for COVID-19 in Greece got 3 more tests, all negative","-2","51"
"Trump, Who Thinks He’s Still President, Is Bringing Back His Rallies Next Month","-12.67","33.33"
"“Democrats Need to Be the Biggest, Weirdest Tent They’ve Ever Been”: Progressives Throw Their Weight Behind Biden","-8.67","44.33"
"Is Marjorie Taylor Greene the Worst Person in Congress? An Investigation","-12.25","39.25"
"Trump’s Second Impeachment Trial Now Has a Start Date","-6","45.4"
"Oops: Jared Kushner Reportedly Created a Shell Company to Secretly Pay Trump Family Members and Spend Half the Campaign’s Cash","-3.67","43.33"
"Martial Law? Seizing Voting Machines? Trump’s Election Denial Is Only Getting More Deranged","-11.33","39.33"
"“You Are a Criminal”: The Double Standard of a Trump Pardon for Silk Road Founder Ross Ulbricht","-7.33","36.33"
"It’s Official: Biden Beats Trump in Town Hall Television Ratings","-12","44"
"If 80% of Americans Wore Masks, COVID-19 Infections Would Plummet, New Study Says","-3.67","49.33"
"The Forgotten F-Word in the Pandemic","-8.67","39"
"Republicans Are Worried Coronavirus Stimulus Bill Is Too Generous to the Unemployed","-19","36.67"
"The Trump Campaign Is Reportedly Plotting an Election Coup to “Bypass” a Biden Win","-20","28"
"Megyn Kelly Officially Out at NBC, $69 Million Richer","-2","45.33"
"The FBI Director Just Blew Up Team Trump’s Anti-Antifa War Plan","-7.33","41.83"
"Even Jimmy Fallon Ripped Trump for His “Disaster” Axios Interview","-10.67","39.33"
"“He’s Gotten Stronger as He’s Gone On”: Biden’s Low-Key Strategy Could Soon Be Put to the Test","-9.67","32.33"
"“Deals Are Ending in a Bidding War and Tears”: In the Hamptons, the Rich Are Buying Up Quarantine Mansions for the Whole Family","-4","36.67"
"Trump Plays Mob Boss In Demanding Cut of Microsoft-TikTok Deal","-11.67","35"
"Prince Andrew Allegedly Used a Puppet of Himself to Grope Victims at Jeffrey Epstein’s Home","-5","42"
"“What About Hope Hicks?”: Journalists Handicap Mueller’s Moment of Truth","-10.25","41.75"
"Fosse/Verdon: The Tragic Story of Bob Fosse’s Second Wife, Joan McCracken","0","49.75"
"Notre-Dame: 12 Gorgeous Photos of the Cathedral in Film","0","41.75"
"You’re Welcome, America: Workers Got a One-Cent Bonus Thanks to Trump’s Tax Cuts","-17.25","34.25"
"Trump Is Living in an Economic Fantasy World, Says Trump’s Economics Team","-16.25","29"
"Kellyanne and George Conway’s Cross-Platform Couples Therapy Is Getting Awkward","-20.67","30.67"
"‘American Idol’ Finalist Caleb Kennedy Leaves Show in Wake of Racist Social Media Post","0","41"
"Rock & Roll Hall of Fame to Induct Jay-Z, Carole King, Go-Go’s, Tina Turner, Todd Rundgren and Foo Fighters","0","48.67"
"‘The Masked Singer’ Reveals the Identity of the Russian Dolls: Here’s the Band Under the Masks","0","42"
"Ellen DeGeneres Says Negative Press Cycle Was ‘Orchestrated’ and ‘Misogynistic’ in First Interview After Announcing Show’s End","-5.33","42.33"
"‘Friends’ Reunion Special at HBO Max to Premiere in May, Drops First Teaser","0","45"
"The MAGA Riot in Washington Was the Natural Culmination of Donald Trump’s Influence — And, Just Maybe, Its Swan Song","-19.17","34"
"Twitter Updates Label on Trump’s Tweets After Electoral College Certifies Biden Presidency","-5.67","44.33"
"Jim Carrey Resigns From Joe Biden Duties at ‘Saturday Night Live’","-1.5","42.83"
"Jeremih in ‘Critical Condition’ in the ICU, Agent Says","0","43.33"
"Gordon Ramsay Donated $50,000 to Late ‘MasterChef Junior’ Star Ben Watkins’ Cancer Treatment","0","45.67"
"‘Wipeout’ Contestant Dies After Completing Game-Show Obstacle Course","0","45.33"
"‘The Crown’: Emma Corrin on Princess Diana’s Bulimia, Hugging the Queen and Handing Off to Elizabeth Debicki","0","40.67"
"How HBO Max Became ‘Wonder Woman 1984’s’ Best Option","0","43.33"
"Sia Engages in Fiery Twitter Debate With Disability Activists Over Autism-Themed Film","-0.67","45"
"Twitter Will Transfer POTUS Account to Biden in January","-0.67","49.67"
"Meet the Chinese Animated ‘Mulan’ Flipping the Script on Disney’s Film","-0.33","40"
"‘Saturday Night Live’ Releases First Look at Jim Carrey’s Joe Biden Impression","-3.33","36"
"JoJo and Diane Warren Team Up for Official Biden/Harris Campaign Song, ‘The Change’ (EXCLUSIVE)","-7.83","39"
"BTS Reflects on Songwriting, Inspiration and Artistry","0","32.67"
"Trump and First Lady Test Positive for Coronavirus","-2.67","50"
"‘Gilmore Girls’: The 30 Best Episodes, Ranked","-0.33","25.67"
"Where Can Vaccinated Americans Travel Right Now?","-3.67","41.33"
"What to Do if You’re Barely Keeping It Together Right Now","-5.33","35"
"So That’s What a Normal President Sounds Like","-11.33","35.33"
"QAnon Still Believes Trump Will Declare Martial Law and Stay in Office","-3.67","43.33"
"Staggering Number of Hysterectomies Happening at ICE Facility, Whistleblower Says","-8.75","36.75"
"Parler, Gab, MeWe, and Rumble Are Creating a Massive Right-Wing Echo Chamber","-14","39"
"Trump Got COVID. Here’s How Chinese Social Media Reacted.","-9.33","43.67"
"Gun Enthusiasts Celebrate Man Who Shot Himself in the Balls as Their King","-22","32"
"Staggering Number of Hysterectomies Happening at ICE Facility, Whistleblower Says","-7.2","41.6"
"'Trump Basically Said to Go Fuck Them Up': Here’s How the Proud Boys Reacted to Trump’s Comments","-14.67","40.67"
"https://www.vice.com/en_us/article/jgxn7x/that-gun-waving-couple-from-st-louis-made-a-weird-dark-appearance-at-trumps-convention","-12.4","36.4"
"100 Years After Women's Suffrage, US Voters Still Face Countless Barriers","-6.33","48.67"
"Corporations Receiving Bailout Billions Have Laid Off Staff and Paid Investors","-7","48.67"
"Sheriff Joe, Kris Kobach, and Rashida Tlaib Are on the Ballot in 2020’s Last Big Primary Night","-15","38.33"
"Public Submissions for Mississippi’s New Flag Are Exactly What You’d Expect","-8","42.33"
"Kanye West Has a Senior GOP Strategist Helping Him Get on the Ballot in Colorado","-5.7","41.8"
"Democrats just subpoenaed Trump’s favorite bank","-16.75","37"
"Bernie’s victorious Fox News town hall","-12.25","41.25"
"https://news.vice.com/en_us/article/neawxb/ice-may-have-screwed-up-by-deporting-a-dead-soldiers-spouse","-14.25","41.25"
"Syrian refugees fled Assad’s brutality. Now some are returning.","-4","50.75"
"Elizabeth Warren called for abolishing the Electoral College","-7.75","49.75"
"Facebook says 200 people watched the Christchurch massacre live — but no one reported it","-2","49.25"
"Why a black family kept racist graffiti on their house","-10.5","55"
"New Zealand's Muslims say Islamophobia was a problem long before the Christchurch massacre","-4.67","43.67"
"New documents show Mueller was interested in Cohen for a whole lot more than hush-money payments","-9.75","40.5"
"Derek Chauvin Convicted on all Charges in Death of George Floyd","1","46.33"
"Whistleblowers Demand VOA Director Resign Over Pompeo Speech, Staff Moves","-2.67","45.33"
"Germany's President Urges Employers to Allow Work from Home","0","47.67"
"As Ordered by Trump, US Down to 2,500 Troops in Afghanistan","3.67","25"
"Security Bolstered Around Capitol After Warnings of Further Violence","0","50.33"
"Sudan Accuses Ethiopia of Escalating Tensions Over Disputed Territory","0","48.33"
"World Leaders Condemn Pro-Trump Riot at US Capitol","0","49"
"US Records Over 90,000 New COVID-19 Cases on Election Day","-1.67","50"
"German Official Calls for All US Votes to Be Counted","-1.67","47.33"
"US Voters Weigh In on a Variety of Ballot Initiatives","0","50.33"
"US Backs Release of ‘Low-Level’ Islamic State Prisoners in Syria","-0.67","49.33"
"Racial Minorities in US Dying From COVID at Higher Rates Than Whites","0","52"
"US Presidential Debate Set For Thursday With New Rules in Place","-3.33","51.33"
"Trump Makes Appeals to Pennsylvania Voters Two Weeks Before Election Day","-4.67","51.67"
"If Democrats Can, Should They Pack US Supreme Court?","-1","44.33"
"US Justice Department, 11 States Sue Google","1.33","49"
"US Congress, White House Negotiations on COVID Aid 'Come a Long Way'","-0.67","48.67"
"The Worth of a Girl: ‘It is what it is’","-0.67","47.67"
